None,date,ticker,adj_close
88,2017-08-23,GOOGL,942.58
89,2017-08-22,GOOGL,940.4
90,2017-08-21,GOOGL,920.87
91,2017-08-18,GOOGL,926.18
92,2017-08-17,GOOGL,927.66
93,2017-08-16,GOOGL,944.27
94,2017-08-15,GOOGL,938.08
95,2017-08-14,GOOGL,938.93
96,2017-08-11,GOOGL,930.09
97,2017-08-10,GOOGL,923.59
98,2017-08-09,GOOGL,940.08
99,2017-08-08,GOOGL,944.19
100,2017-08-07,GOOGL,945.75
101,2017-08-04,GOOGL,945.79
102,2017-08-03,GOOGL,940.3
103,2017-08-02,GOOGL,947.64
104,2017-08-01,GOOGL,946.56
105,2017-07-31,GOOGL,945.5
106,2017-07-28,GOOGL,958.33
107,2017-07-27,GOOGL,952.51
108,2017-07-26,GOOGL,965.31
109,2017-07-25,GOOGL,969.03
110,2017-07-24,GOOGL,998.31
111,2017-07-21,GOOGL,993.84
112,2017-07-20,GOOGL,992.19
113,2017-07-19,GOOGL,992.77
114,2017-07-18,GOOGL,986.95
115,2017-07-17,GOOGL,975.96
116,2017-07-14,GOOGL,976.91
117,2017-07-13,GOOGL,968.7175
118,2017-07-12,GOOGL,967.66
119,2017-07-11,GOOGL,953.53
120,2017-07-10,GOOGL,951.0
121,2017-07-07,GOOGL,940.81
122,2017-07-06,GOOGL,927.69
123,2017-07-05,GOOGL,932.26
124,2017-07-03,GOOGL,919.46
125,2017-06-30,GOOGL,929.68
126,2017-06-29,GOOGL,937.82
127,2017-06-28,GOOGL,961.01
128,2017-06-27,GOOGL,948.09
129,2017-06-26,GOOGL,972.09
130,2017-06-23,GOOGL,986.09
131,2017-06-22,GOOGL,976.62
132,2017-06-21,GOOGL,978.59
133,2017-06-20,GOOGL,968.99
134,2017-06-19,GOOGL,975.22
135,2017-06-16,GOOGL,958.62
136,2017-06-15,GOOGL,960.18
137,2017-06-14,GOOGL,967.93
138,2017-06-13,GOOGL,970.5
139,2017-06-12,GOOGL,961.81
140,2017-06-09,GOOGL,970.12
141,2017-06-08,GOOGL,1004.28
142,2017-06-07,GOOGL,1001.59
143,2017-06-06,GOOGL,996.68
144,2017-06-05,GOOGL,1003.88
145,2017-06-02,GOOGL,996.12
146,2017-06-01,GOOGL,988.29
147,2017-05-31,GOOGL,987.09
148,2017-05-30,GOOGL,996.17
149,2017-05-26,GOOGL,993.27
150,2017-05-25,GOOGL,991.86
151,2017-05-24,GOOGL,977.61
152,2017-05-23,GOOGL,970.55
153,2017-05-22,GOOGL,964.07
154,2017-05-19,GOOGL,954.65
155,2017-05-18,GOOGL,950.5
156,2017-05-17,GOOGL,942.17
157,2017-05-16,GOOGL,964.61
158,2017-05-15,GOOGL,959.22
159,2017-05-12,GOOGL,955.14
160,2017-05-11,GOOGL,955.89
161,2017-05-10,GOOGL,954.84
162,2017-05-09,GOOGL,956.71
163,2017-05-08,GOOGL,958.69
164,2017-05-05,GOOGL,950.28
165,2017-05-04,GOOGL,954.72
166,2017-05-03,GOOGL,948.45
167,2017-05-02,GOOGL,937.09
168,2017-05-01,GOOGL,932.82
169,2017-04-28,GOOGL,924.52
170,2017-04-27,GOOGL,891.44
171,2017-04-26,GOOGL,889.14
172,2017-04-25,GOOGL,888.84
173,2017-04-24,GOOGL,878.93
174,2017-04-21,GOOGL,858.95
175,2017-04-20,GOOGL,860.08
176,2017-04-19,GOOGL,856.51
177,2017-04-18,GOOGL,853.99
178,2017-04-17,GOOGL,855.13
179,2017-04-13,GOOGL,840.18
180,2017-04-12,GOOGL,841.46
181,2017-04-11,GOOGL,839.88
182,2017-04-10,GOOGL,841.7
183,2017-04-07,GOOGL,842.1
184,2017-04-06,GOOGL,845.095
185,2017-04-05,GOOGL,848.91
186,2017-04-04,GOOGL,852.57
187,2017-04-03,GOOGL,856.75
188,2017-03-31,GOOGL,847.8
189,2017-03-30,GOOGL,849.48
190,2017-03-29,GOOGL,849.87
191,2017-03-28,GOOGL,840.63
192,2017-03-27,GOOGL,838.51
193,2017-03-24,GOOGL,835.14
194,2017-03-23,GOOGL,839.65
195,2017-03-22,GOOGL,849.8
196,2017-03-21,GOOGL,850.14
197,2017-03-20,GOOGL,867.91
198,2017-03-17,GOOGL,872.37
199,2017-03-16,GOOGL,870.0
200,2017-03-15,GOOGL,868.39
201,2017-03-14,GOOGL,865.91
202,2017-03-13,GOOGL,864.58
203,2017-03-10,GOOGL,861.405
204,2017-03-09,GOOGL,857.84
205,2017-03-08,GOOGL,853.64
206,2017-03-07,GOOGL,851.15
207,2017-03-06,GOOGL,847.27
208,2017-03-03,GOOGL,849.08
209,2017-03-02,GOOGL,849.85
210,2017-03-01,GOOGL,856.75
211,2017-02-28,GOOGL,844.93
212,2017-02-27,GOOGL,849.67
213,2017-02-24,GOOGL,847.81
214,2017-02-23,GOOGL,851.0
215,2017-02-22,GOOGL,851.36
216,2017-02-21,GOOGL,849.27
217,2017-02-17,GOOGL,846.55
218,2017-02-16,GOOGL,842.17
219,2017-02-15,GOOGL,837.32
220,2017-02-14,GOOGL,840.03
221,2017-02-13,GOOGL,838.96
222,2017-02-10,GOOGL,834.85
223,2017-02-09,GOOGL,830.06
224,2017-02-08,GOOGL,829.88
225,2017-02-07,GOOGL,829.23
226,2017-02-06,GOOGL,821.62
227,2017-02-03,GOOGL,820.13
228,2017-02-02,GOOGL,818.26
229,2017-02-01,GOOGL,815.24
230,2017-01-31,GOOGL,820.19
231,2017-01-30,GOOGL,823.83
232,2017-01-27,GOOGL,845.03
233,2017-01-26,GOOGL,856.98
234,2017-01-25,GOOGL,858.45
235,2017-01-24,GOOGL,849.53
236,2017-01-23,GOOGL,844.43
237,2017-01-20,GOOGL,828.17
